"","id","family_id","name","latitude","longitude"
"3799","cent2126","japo1237","Central Okinawan",26.14854,127.7816
"7749","hach1239","japo1237","Hachijo",33.109444,139.791389
"7913","hate1238","japo1237","Hateruma",24.059,123.78
"8517","ikem1235","japo1237","Ikema-Jima",24.93149,125.245
"8746","irab1238","japo1237","Irabu-Jima",24.831088,125.18956
"10553","kika1239","japo1237","Kikai",28.31,129.982
"11420","kuni1268","japo1237","Kunigami",26.5911,128.068
"14581","miya1259","japo1237","Miyako",24.7564,125.363
"16583","nort2935","japo1237","Northern Amami-Oshima",28.20991,129.45346
"17328","nucl1643","japo1237","Japanese",35,135
"17801","ogam1239","japo1237","Ogami",24.916,125.30798
"17861","okin1246","japo1237","Oki-No-Erabu",27.37384,128.6187
"17939","oldj1239","japo1237","Old Japanese",34.68333,135.8
"20525","sats1241","japo1237","Kagoshima",31.8764,130.4454
"21034","shur1243","japo1237","Shuri",26.21699,127.7224
"21809","sout2954","japo1237","Southern Amami-Oshima",28.1955,129.28521
"22875","tara1319","japo1237","Tarama-Minna",24.6584,124.6998
"23584","toku1246","japo1237","Toku-No-Shima",27.7736,128.961
"23853","tsug1237","japo1237","Tsugaru",40.7435,140.6873
"26205","yaey1239","japo1237","Yaeyama",24.3401,123.801
"26511","yila1234","japo1237","Vernacular Atayalic Japanese",24.381274,121.574283
"26586","yona1241","japo1237","Yonaguni",24.44997,122.99075
"26617","yoro1243","japo1237","Yoron",27.0407,128.428
